metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,4569.322372913361,0.0,0.0,4569.322372913361,4569.322372913361,4569.32 ± 0,4569.32 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,0.03419497609138489,0.0,0.0,0.03419497609138489,0.03419497609138489,0.034195 ± 0,0.034195 ± 0
mse_u,1,0.0036028095055371523,0.0,0.0,0.0036028095055371523,0.0036028095055371523,0.00360281 ± 0,0.00360281 ± 0
mse_f,1,0.0007410148391500115,0.0,0.0,0.0007410148391500115,0.0007410148391500115,0.000741015 ± 0,0.000741015 ± 0
mse_bd,1,7.336239650612697e-05,0.0,0.0,7.336239650612697e-05,7.336239650612697e-05,7.33624e-05 ± 0,7.33624e-05 ± 0
train_mse_norm,1,0.012041694484651089,0.0,0.0,0.012041694484651089,0.012041694484651089,0.0120417 ± 0,0.0120417 ± 0
rl2_train,1,0.10089308057778906,0.0,0.0,0.10089308057778906,0.10089308057778906,0.100893 ± 0,0.100893 ± 0
rl2_train_global,1,0.10089308057778906,0.0,0.0,0.10089308057778906,0.10089308057778906,0.100893 ± 0,0.100893 ± 0
rl2_train_mean_per_sample,1,0.07313716188073158,0.0,0.0,0.07313716188073158,0.07313716188073158,0.0731372 ± 0,0.0731372 ± 0
rl2_train_std_per_sample,1,0.07024390954611702,0.0,0.0,0.07024390954611702,0.07024390954611702,0.0702439 ± 0,0.0702439 ± 0
rl2_train_sem_per_sample,1,0.02221307459205742,0.0,0.0,0.02221307459205742,0.02221307459205742,0.0222131 ± 0,0.0222131 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
