metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,4576.66320848465,0.0,0.0,4576.66320848465,4576.66320848465,4576.66 ± 0,4576.66 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,0.025407666340470314,0.0,0.0,0.025407666340470314,0.025407666340470314,0.0254077 ± 0,0.0254077 ± 0
mse_u,1,0.004781660623848438,0.0,0.0,0.004781660623848438,0.004781660623848438,0.00478166 ± 0,0.00478166 ± 0
mse_f,1,0.0015544368652626872,0.0,0.0,0.0015544368652626872,0.0015544368652626872,0.00155444 ± 0,0.00155444 ± 0
mse_bd,1,0.0003447526542004198,0.0,0.0,0.0003447526542004198,0.0003447526542004198,0.000344753 ± 0,0.000344753 ± 0
train_mse_norm,1,0.020835895091295242,0.0,0.0,0.020835895091295242,0.020835895091295242,0.0208359 ± 0,0.0208359 ± 0
rl2_train,1,0.14434147667041705,0.0,0.0,0.14434147667041705,0.14434147667041705,0.144341 ± 0,0.144341 ± 0
rl2_train_global,1,0.14434147667041705,0.0,0.0,0.14434147667041705,0.14434147667041705,0.144341 ± 0,0.144341 ± 0
rl2_train_mean_per_sample,1,0.13601041287183763,0.0,0.0,0.13601041287183763,0.13601041287183763,0.13601 ± 0,0.13601 ± 0
rl2_train_std_per_sample,1,0.06700952690686991,0.0,0.0,0.06700952690686991,0.06700952690686991,0.0670095 ± 0,0.0670095 ± 0
rl2_train_sem_per_sample,1,0.021190272995604664,0.0,0.0,0.021190272995604664,0.021190272995604664,0.0211903 ± 0,0.0211903 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
