metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,5019.486076593399,0.0,0.0,5019.486076593399,5019.486076593399,5019.49 ± 0,5019.49 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,43.16972351074219,0.0,0.0,43.16972351074219,43.16972351074219,43.1697 ± 0,43.1697 ± 0
mse_u,1,0.40110501646995544,0.0,0.0,0.40110501646995544,0.40110501646995544,0.401105 ± 0,0.401105 ± 0
mse_f,1,41.17240905761719,0.0,0.0,41.17240905761719,41.17240905761719,41.1724 ± 0,41.1724 ± 0
mse_bd,1,1.5192545652389526,0.0,0.0,1.5192545652389526,1.5192545652389526,1.51925 ± 0,1.51925 ± 0
train_mse_norm,1,1.5584818124771118,0.0,0.0,1.5584818124771118,1.5584818124771118,1.55848 ± 0,1.55848 ± 0
rl2_train,1,1.2483916545634894,0.0,0.0,1.2483916545634894,1.2483916545634894,1.24839 ± 0,1.24839 ± 0
rl2_train_global,1,1.2483916545634894,0.0,0.0,1.2483916545634894,1.2483916545634894,1.24839 ± 0,1.24839 ± 0
rl2_train_mean_per_sample,1,1.0481819324195385,0.0,0.0,1.0481819324195385,1.0481819324195385,1.04818 ± 0,1.04818 ± 0
rl2_train_std_per_sample,1,0.7545098311170861,0.0,0.0,0.7545098311170861,0.7545098311170861,0.75451 ± 0,0.75451 ± 0
rl2_train_sem_per_sample,1,0.2385969583318978,0.0,0.0,0.2385969583318978,0.2385969583318978,0.238597 ± 0,0.238597 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
