metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,6959.0169377326965,0.0,0.0,6959.0169377326965,6959.0169377326965,6959.02 ± 0,6959.02 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,0.01947249099612236,0.0,0.0,0.01947249099612236,0.01947249099612236,0.0194725 ± 0,0.0194725 ± 0
mse_u,1,0.0016569739673286676,0.0,0.0,0.0016569739673286676,0.0016569739673286676,0.00165697 ± 0,0.00165697 ± 0
mse_f,1,0.00044314117985777557,0.0,0.0,0.00044314117985777557,0.00044314117985777557,0.000443141 ± 0,0.000443141 ± 0
mse_bd,1,0.000794587132986635,0.0,0.0,0.000794587132986635,0.000794587132986635,0.000794587 ± 0,0.000794587 ± 0
train_mse_norm,1,0.009960505180060863,0.0,0.0,0.009960505180060863,0.009960505180060863,0.00996051 ± 0,0.00996051 ± 0
rl2_train,1,0.09980059141903243,0.0,0.0,0.09980059141903243,0.09980059141903243,0.0998006 ± 0,0.0998006 ± 0
rl2_train_global,1,0.09980059141903243,0.0,0.0,0.09980059141903243,0.09980059141903243,0.0998006 ± 0,0.0998006 ± 0
rl2_train_mean_per_sample,1,0.15614669770002365,0.0,0.0,0.15614669770002365,0.15614669770002365,0.156147 ± 0,0.156147 ± 0
rl2_train_std_per_sample,1,0.1297550228210063,0.0,0.0,0.1297550228210063,0.1297550228210063,0.129755 ± 0,0.129755 ± 0
rl2_train_sem_per_sample,1,0.04103214099615064,0.0,0.0,0.04103214099615064,0.04103214099615064,0.0410321 ± 0,0.0410321 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
