metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,4553.876397371292,0.0,0.0,4553.876397371292,4553.876397371292,4553.88 ± 0,4553.88 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,0.017408384010195732,0.0,0.0,0.017408384010195732,0.017408384010195732,0.0174084 ± 0,0.0174084 ± 0
mse_u,1,0.0023129351902753115,0.0,0.0,0.0023129351902753115,0.0023129351902753115,0.00231294 ± 0,0.00231294 ± 0
mse_f,1,0.004689850844442844,0.0,0.0,0.004689850844442844,0.004689850844442844,0.00468985 ± 0,0.00468985 ± 0
mse_bd,1,0.005728760734200478,0.0,0.0,0.005728760734200478,0.005728760734200478,0.00572876 ± 0,0.00572876 ± 0
train_mse_norm,1,0.005111998878419399,0.0,0.0,0.005111998878419399,0.005111998878419399,0.005112 ± 0,0.005112 ± 0
rl2_train,1,0.04127682184938813,0.0,0.0,0.04127682184938813,0.04127682184938813,0.0412768 ± 0,0.0412768 ± 0
rl2_train_global,1,0.04127682184938813,0.0,0.0,0.04127682184938813,0.04127682184938813,0.0412768 ± 0,0.0412768 ± 0
rl2_train_mean_per_sample,1,0.030859007267281413,0.0,0.0,0.030859007267281413,0.030859007267281413,0.030859 ± 0,0.030859 ± 0
rl2_train_std_per_sample,1,0.028895524635058692,0.0,0.0,0.028895524635058692,0.028895524635058692,0.0288955 ± 0,0.0288955 ± 0
rl2_train_sem_per_sample,1,0.009137567203229115,0.0,0.0,0.009137567203229115,0.009137567203229115,0.00913757 ± 0,0.00913757 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
